mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,tempo,rms,genre,filename
-113.619385,121.55302,-19.151058,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973776,-8.32241,8.8067875,-3.665802,1784.416545970319,3806.4186497738488,2002.6571063943209,0.08306639113293343,15.987602688701612,15.102477692088824,18.458409057377718,18.363125053822007,18.9187388027038,17.190236092452114,39.66757667158581,0.3617269,0.3676187,0.43998006,0.24463448,0.24780177,0.33561543,0.364576,0.435647,0.29584128,0.3146338,0.40656036,0.38477036,0.026627387303959076,0.018183391041188397,0.004939939340881684,-0.016637007313731758,0.00981508446439264,-0.004276748953153548,[123.046875],0.130192,blues,blues.00000.wav
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,1529.8713140945188,3548.9868730952494,2038.6121427572907,0.056044256724071206,15.984914561002014,17.0562328248644,19.129323982388623,19.18787122800779,18.324038624421977,17.50447952941415,37.51898531757912,0.45962232,0.34987715,0.32096863,0.21158591,0.20090795,0.3310051,0.39764687,0.5606764,0.38437924,0.25547373,0.28495902,0.33423826,0.03579151677851713,0.0844379067723498,0.0416527711930496,0.007808385806117523,0.020583706064514352,-0.013941975244848541,[67.99958882],0.095891684,blues,blues.00001.wav
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857633,-8.899733,1552.6377863181908,3041.0899442784926,1747.3820283016653,0.07630074799245357,26.33225553065585,14.191932556756637,17.706643575580642,19.417249535025636,20.344435037793545,18.31496483974992,39.035077300462454,0.27267143,0.19586879,0.31525424,0.40813476,0.5470826,0.32177538,0.30478692,0.28851688,0.33424202,0.40191102,0.38430804,0.5881898,0.12018034640824406,-0.06507973795327511,0.06611099815134518,0.043694905423481346,0.000214438672573377,-0.019651799838652617,[161.49902344],0.17549369,blues,blues.00002.wav
-199.462,150.09473,5.649167,26.870144,1.7554411,14.23688,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.0853534,-2.4761884,1070.1100585189854,2185.0617872303114,1596.244204184935,0.03330894446594427,29.797804247563928,14.765636719360783,17.239783565071527,18.63621706926385,18.49075823426367,16.790485158755587,34.27801571154383,0.3408619,0.40857694,0.5245686,0.54707444,0.6571128,0.511671,0.3556304,0.25169012,0.24638642,0.3152089,0.3165434,0.38285518,0.10208560762240401,-0.061868393382948535,0.0869125044319328,0.07465864838051951,-0.005033138532322929,-0.036805837752510895,[63.02400915],0.14113921,blues,blues.00003.wav
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,1835.5070084014953,3581.003346162684,1748.3674767249413,0.1015001421004257,17.057412884710494,15.693513459090605,19.12555886683112,20.526383065422213,20.7855174610229,19.713926518666607,37.338804121369755,0.19272667,0.31723168,0.39155152,0.25590554,0.19280398,0.53058165,0.25394234,0.1392154,0.27655506,0.3243358,0.55529773,0.27302992,-0.0051594131908015385,0.06069473240970827,-0.15847417108870285,-0.010730685196938641,0.017150299058351713,-0.02893831129686837,[135.99917763],0.0915404,blues,blues.00004.wav
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.1761687,-8.575769,-0.9401844,-11.773799,-2.426076,-9.342486,1831.9900685948742,3480.8539517523704,1729.4562589469804,0.09403986975135449,17.47173427154148,19.563742281296186,21.294820438166678,21.350197303286826,20.782888052062248,19.40352798039331,37.94590337195688,0.23830758,0.30017722,0.61689025,0.23552348,0.123921186,0.24363397,0.27951208,0.41132158,0.24399377,0.28561264,0.28419915,0.365875,0.1112228502499996,0.0829615919841116,0.028855146657482286,-0.14641711162907814,-0.00740079728689847,-0.038294633573473284,[69.83741554],0.10343772,blues,blues.00005.wav
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.59637237,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,1459.0353761872718,2795.67476160386,1388.7255154687855,0.07302790308146284,24.761686388889366,21.07530470251667,22.20890664723946,21.261253966206972,21.647741736833122,20.145598260935973,32.880478388843535,0.42547888,0.22330672,0.1313038,0.15264675,0.24185762,0.49107337,0.24560353,0.16917841,0.2882331,0.46142805,0.35944873,0.30730906,-0.039470532272603644,0.10161133136759146,-0.12522131720869217,0.08674965047309216,-0.04436545777290931,0.003857975408482429,[71.77734375],0.1416879,blues,blues.00006.wav
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690976,-8.414114,-6.956976,-3.548349,1451.8494584581754,2955.7654602239745,1577.5518583197493,0.06143500266060371,20.215365526323623,20.094576698389947,20.71189794847595,19.629865396658026,20.705410723231054,19.60440192458332,36.12081799513814,0.25941816,0.26425815,0.32541996,0.21780181,0.21512058,0.29521677,0.19004409,0.18086506,0.26435012,0.390141,0.648551,0.4365876,0.010119974085889261,0.03773004187125585,-0.12942908544903597,-0.012173983961886455,0.030493613478171866,-0.0031740856183917355,[92.28515625],0.13174523,blues,blues.00007.wav
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739911,1719.2739373344168,3781.5188003398316,2031.6873439502422,0.06402757957623839,29.493772582869763,15.129731925950475,17.020851583382814,17.03142049834697,19.69371660973148,17.621792078515444,40.62273896813749,0.3195211,0.304665,0.36683223,0.4223385,0.5240038,0.45069423,0.49352205,0.35298544,0.38034284,0.46188274,0.36648217,0.4647075,0.08569895518322687,-0.007710659788749567,0.025926678118529386,0.07051400236292352,-0.012758713022468149,-0.019046416139805355,[83.35433468],0.14236063,blues,blues.00008.wav
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180814,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368747,1817.529546414671,3944.584480970637,1973.69030921519,0.0792153184258901,14.330905860745972,17.63960709820347,21.92679728271733,20.2309716071656,18.564728908036567,18.909647349158625,36.50457567144057,0.24841243,0.27330634,0.4887446,0.26811463,0.17957151,0.2677972,0.22273743,0.41564554,0.27288085,0.18116428,0.22930473,0.24049188,0.07883156426085326,0.09112924337183045,0.01842663065896531,-0.016958317544957385,-0.006828391554486731,-0.052615564709007384,[80.74951172],0.08132098,blues,blues.00009.wav
